env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,2.4,-5.8,1.44859,1,0,7.9,0,2.2,6.75778,0.236111,3.6,2.2,2.2,2.8,10,10,9.3,5.7,5.28222,2.64444,2.34,4.6775,10,10,9.625,6.75778
open_space,10.8,-19.1,5.51499,1,0,10.6,0,10,0.6,0.441667,0.8,8.9,10,10,10,0.8,0.6,0.6,2.64889,9.26667,10,10,10,2.01667,0.66,0.664444
open_space,7.7,-5.6,5.15435,1,1,15.8,0,5.54444,8.3,0,10,10,5.8,5.4,6,7.5,8.3,10,10,10,7.19189,5.54444,7.64444,7.70444,9.03529,10
open_space,3.9,-11.3,2.69553,1,0,12.5,0,8.4,5.97209,0,3.7,3.9,8.4,8.9,10,10,10,4.1,3.80444,5.28222,8.61556,9.36429,10,10,10,5.97209
open_space,0.7,-7.3,3.96611,1,0,10.5,0,9.9,0.5,0.45,0.7,10,10,9.8,7.1,0.7,0.5,0.5,1.93171,10,10,9.9,7.85111,1.84444,0.542222,0.557778
open_space,0.9,-11.2,3.07951,1,1,9.2,0,8.5,0.8,0.427778,0.7,0.9,8.5,10,10,10,1.1,0.7,0.753333,2.16,8.92778,10,10,10,2.44595,0.8
open_space,17.8,-5.7,1.59811,1,0,12.7,0,10,1.9,0.277778,5.5,8,10,10,2.6,1.9,1.9,2.7,6.21333,8.87273,10,10,4.52857,2.10667,2.14222,4.59111
open_space,19.3,-6.7,5.59171,1,1,1.1,0,0.6,1.12,0.461111,0.4,0.4,0.6,6.5,10,10,4.6,0.5,0.424444,0.455556,2.35111,7.62667,10,10,6.36667,1.12
open_space,5,-9.9,5.97981,1,1,19.7,0,6.65682,9.8,0,10,10,9.7,5.1,4.8,5.4,9.8,10,10,10,9.80667,6.65682,4.94444,7.05714,9.87692,10
open_space,0.9,-8.5,3.0198,1,1,6.1,0,5.4,0.833333,0.430556,0.7,0.9,5.4,10,10,8.4,1.1,0.7,0.74,1.72222,7.15,10,10,9,4.02889,0.833333
open_space,13.2,-18.7,2.40177,1,0,11,0,1,9.6,0.394444,10,1.4,1,1,1.5,6.5,9.6,10,10,3,1.09556,1.13111,3.59333,7.41778,9.8,10
open_space,9.8,-18,5.57167,1,1,11.7,0,10,1.7,0.308333,2.6,9.9,10,10,9.6,2.3,1.7,1.7,6.12889,9.96667,10,10,9.71429,4.84222,1.84889,1.96222
open_space,17,-6.1,5.55266,1,0,7.7,0,4,5.59062,0.133333,2.7,2.7,4,5.9,8.8,10,10,3.7,2.96222,3.09333,5.63556,6.76667,9.4,10,10,5.59062
open_space,11.1,-5.4,0.326491,1,0,14.1,0,5.5,8.85778,0,5.8,5.2,5.5,10,10,10,9.7,8.6,7.95333,5.35111,7.00732,10,10,10,9.85,8.85778
