env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums,controlGraph,robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,0.9,-13.9,4.65273,0,0,3,,,8.4,0.9,0.7,7.7,0.427778,5.8,7.7,10,10,1,0.7,0.7,0.9,6.31556,8.72857,10,10,2.41622,0.8,0.753333,2.10222
open_space,5,-15.1,1.51857,0,0,3,,,14.8,7.3,6.2,4.8,0,7.3,4.8,4.8,4.6,4.6,6.2,10,10,8.40769,5.54222,5.23778,5.30667,5.02444,7.62857,10,10
open_space,6.9,-14.6,0.265466,0,0,3,,,15.3,10,5.1,7.8,0,10,10,7.8,6.7,5.9,5.1,5.3,10,10,10,8.73333,6.94667,7.21111,5.28889,6.78444,10
open_space,11.6,-5.7,1.16327,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,14,5.5,8.1,5.9,0,5.5,5.9,10,10,10,8.9,8.1,6,5.64444,7.36111,10,10,10,9.41538,8.31556,7.89556
open_space,18.7,-11.7,5.94899,0,0,3,,,3.4,1,2.3,1.1,0.394444,1,1.1,2.9,10,10,8.5,2.3,1.1,1.01778,1.61778,4.92857,10,10,9.16667,6.4,1.43556
open_space,12,-8.1,3.17199,0,0,3,,,17.9,10,7.9,10,0,10,10,10,7.7,7.7,7.9,7.9,10,10,10,10,8.37805,8.44103,8.55,8.57568,10
open_space,1.1,-5.6,1.20656,0,0,3,,,11,2.2,10,0.9,0.405556,2.2,1,0.9,1,2.4,10,10,5.8,4.78,1.33111,0.913333,1.39556,4.30625,10,10,7.25
open_space,12.3,-9.5,3.82008,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,20,10,9.3,7.5,0,10,10,7.5,7.4,9.4,9.3,10,10,10,10,8.32778,7.92889,9.65,9.48621,10,10
open_space,11.5,-3.9,4.31358,0,0,3,,,18.4,10,4,8.2,0,10,9,8.2,4,3.7,4,9.4,10,10,9.43333,8.41556,5.75556,3.79333,5.58,9.65,10
open_space,3.3,-4.5,5.70933,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,10.9,10,3.2,4.3,0,10,5.2,4.3,3.7,3.1,3.2,5.7,10,10,6.82258,4.50222,4.55556,3.24,3.93333,7.4125,10
