env_type,robot_x,robot_y,robot_theta,has_expert_label,expert_confidence,ctrlnums, controlGraph, robot_positions,corridor_width,front_clearance,left_clearance,right_clearance,obstacle_density,sector_0_min,sector_1_min,sector_2_min,sector_3_min,sector_4_min,sector_5_min,sector_6_min,sector_7_min,sector_0_avg,sector_1_avg,sector_2_avg,sector_3_avg,sector_4_avg,sector_5_avg,sector_6_avg,sector_7_avg
open_space,10.1,-10.4,5.79064,0,0,-1182155123,,,19.3,9.6,9.3,10,0,9.6,10,10,10,9.9,10,9.3,9.7,9.73824,10,10,10,9.945,10,9.49487,9.85
open_space,9.3,-14.8,2.7207,0,0,-1182155123,,,15.4,9.1,10,4.9,0,9.1,5.4,4.9,5.2,10,10,10,10,9.34889,7.30976,5.02889,6.84634,10,10,10,10
open_space,2.7,-10.6,1.79928,0,0,-1182155123,,,12.5,3,10,2.5,0.180556,3,2.5,2.6,4.7,9.3,10,10,10,4.80698,2.60222,3.21556,8.12222,9.64615,10,10,10
open_space,5.2,-3.9,2.37466,0,0,-1182155123,,,8.7,3.7,3.7,5,0,5,5,7.2,10,10,5.2,3.7,3.7,5.42667,5.63111,8.40667,10,10,6.94583,4.12444,4.16222
open_space,1.7,-3.9,5.38928,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,7.9,10,1.5,3.7,0.333333,10,6,3.7,2.4,1.5,1.5,1.9,10,10,7.6,4.42222,3.49778,1.78222,1.6,3.62093,10
open_space,0.9,-11.1,4.35611,0,0,3,,,10.2,0.8,0.7,9.5,0.427778,1.9,9.5,10,10,1.7,0.7,0.7,0.8,6.90222,9.71429,10,10,3.375,1.02222,0.704444,1.09111
open_space,2,-4.1,0.474704,0,0,3,,,13.9,4.1,5.8,1.9,0.294444,4.1,3.9,1.9,1.8,2,5.8,10,8.8,5.50889,4.00444,2.52889,1.84889,3.04222,7.325,10,9.275
open_space,10.5,-10.1,2.89055,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,19.9,10,9.9,9.6,0,10,10,9.6,9.5,9.2,10,9.9,10,10,10,9.725,9.74444,9.41795,10,9.94,10
open_space,10.1,-11.1,3.72505,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,18.6,8.8,10,8.6,0,8.8,8.6,9.8,9.6,10,10,10,9.9,9.3,8.93953,9.92,9.71034,10,10,10,9.94
open_space,6.3,-11.1,2.09307,0,0,3,,,16.1,6.3,10,6.1,0,6.3,6.1,7,8.6,9.9,10,10,10,7.61081,6.30889,8.68974,8.89556,9.95,10,10,10
open_space,1.4,-9.4,1.90732,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11.2,1.3,10,1.2,0.369444,1.3,1.2,1.3,2.7,10,10,10,3.7,1.98444,1.22667,1.69333,4.84,10,10,10,8.3814
open_space,17.1,-16.6,6.21435,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,6.5,2.6,3.1,3.4,0.158333,2.6,3.4,10,10,4.8,3.1,3.1,2.6,2.81556,5.43143,10,10,6.67391,3.61333,3.35778,3.02889
open_space,10.3,-7.3,3.32893,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,17.2,10,7.1,10,0,10,10,10,9.4,8.7,7.1,7.2,10,10,10,10,9.55484,9.52857,7.47556,8.21429,10
open_space,11.7,-18.9,4.89639,1,1,3,0|1|1；0|0|0；0|0|0,0|0；1|0；2|0,2.4,0.8,1,1.4,0.416667,0.8,1.4,8.1,10,10,4.6,1,0.8,0.982222,4.6,8.83333,10,10,6.56667,1.74889,0.835556
open_space,13.3,-13.9,5.96383,0,0,3,,,13,6.4,5.8,7.2,0,6.4,7.2,10,10,10,6.1,5.8,6.5,6.58,8.275,10,10,10,7.50556,5.96444,7.42444
open_space,14.3,-19,1.10705,0,0,3,,,11.5,5.7,0.7,2.2,0.427778,10,10,2.2,0.8,0.7,0.7,1.5,5.7,10,10,4.1,1.17111,0.711111,0.964444,4.18222,7.165
open_space,11.3,-3.6,0.6511,0,0,3,,,11.9,3.4,8.5,3.4,0,3.4,3.4,4.3,10,10,10,8.5,5.7,4.12667,3.61111,6.17941,10,10,10,9.072,8.05333
open_space,4.6,-16.5,5.60632,0,0,3,,,13.2,3.2,3.2,10,0,5.1,10,10,5.7,4.4,4.1,3.2,3.2,6.89524,10,10,7.336,4.73556,4.74,3.44,3.78444
open_space,9.7,-4,4.44251,0,0,3,,,19.5,10,4.4,7.9,0,10,10,7.9,4,3.8,4.4,9.5,10,10,10,9.55263,5.15111,3.92444,6.43571,9.65429,10
open_space,1.4,-5.3,5.20447,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11.4,4,1.2,5.4,0.369444,10,10,5.4,2.6,1.3,1.2,1.4,4,10,10,6.84286,4.62222,1.65556,1.22667,2.06889,6.14545
open_space,0.8,-13.1,0.497195,0,0,3,,,8.7,10,2,0.6,0.438889,10,1.2,0.6,0.6,0.7,2,7.5,10,10,2.892,0.808889,0.608889,1.02222,5.88444,8.52381,10
open_space,3.5,-18.4,6.02765,0,0,3,,,11.3,1.5,1.3,6.7,0.358333,5,10,6.7,3.4,2.6,1.3,1.3,1.5,6.825,10,8.06364,4.41778,3.28667,1.73111,1.33778,2.38889
open_space,8.6,-9.8,4.58251,0,0,3,,,18.4,9.9,8.4,10,0,9.9,10,10,9.7,9.6,8.5,8.4,10,9.93333,10,10,9.84444,9.704,9.052,8.8122,10
open_space,13.8,-10.9,4.33687,0,0,3,,,16.4,8.8,10,5.9,0,8.8,6.4,5.9,6.4,10,10,10,9.5,9.02889,8.03158,6.05778,7.73226,10,10,10,9.74286
open_space,19.1,-7.3,4.53486,0,0,3,,,10.6,1,8.6,0.6,0.438889,1,0.6,0.6,0.7,3.2,8.6,10,10,2.45484,0.735556,0.624444,1.26222,7.09556,9.26364,10,10
open_space,3.7,-15.2,4.03614,0,0,3,,,8,3.5,3.5,4.5,0,4.5,4.5,7.2,10,10,4.5,3.5,3.5,4.83778,5.32889,8.39231,10,10,6.43226,3.76667,4.13333
open_space,8.8,-7.6,0.577016,0,0,3,,,17.4,7.6,10,7.4,0,7.6,7.4,8.8,8.6,10,10,10,10,8.47667,7.72444,9.32414,8.95,10,10,10,10
open_space,6.6,-17.1,0.0500651,0,0,3,,,12.6,3.9,2.6,8.8,0.158333,10,10,8.8,6.4,3.5,2.6,2.6,3.9,10,10,9.35,7.04444,5.53778,2.85333,2.96889,5.84643
open_space,10.2,-18,3.98172,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11.7,1.7,10,1.7,0.308333,1.7,1.7,2.5,9.5,10,10,10,2.3,1.86222,1.94,5.84222,9.69375,10,10,10,4.59268
open_space,6.8,-4.7,2.5871,1,1,3,0|1|1；0|0|0；0|0|0,0|0；-0.5|0.5；-0.5|-0.5,11.3,4.6,4.5,6.8,0,6.6,6.8,10,10,10,5.3,4.5,4.6,6.88889,7.9,10,10,10,6.97097,4.69111,5.80222
open_space,8.2,-5.5,3.81663,0,0,3,,,16.8,8,5.3,10,0,10,10,10,8.6,5.3,5.3,6.8,8,10,10,10,9.3,6.34667,5.67111,8.33556,8.52273
