Wall time,Step,Value
1777277918.676485,0,0.0
1777277938.386429,2,0.0
1777277944.4046903,3,0.0
1777277949.2043343,4,0.0
1777277991.148815,10,0.0
1777277995.052965,11,0.0
1777278018.5352302,14,0.0
1777278030.7272477,15,0.0
1777278045.8020644,18,0.0
1777278049.9356704,19,0.0
1777278052.4763474,20,0.0
1777278059.2456021,22,0.0
1777278062.0995274,23,0.0
1777278083.2732086,26,0.0
1777278087.0215106,27,0.0
1777278094.214227,29,0.0
1777278112.3671732,33,0.0
1777278122.4449406,34,0.0
1777278142.3496323,36,0.0
1777278146.6844726,37,0.0
1777278153.714807,38,0.0
1777278159.0634868,39,1205.01318359375
1777278179.6723344,40,617.0476684570312
1777278248.2634706,47,256.7396545410156
1777278254.1890953,48,246.7728729248047
1777278255.713107,49,237.73117065429688
1777278325.0359251,50,221.6632843017578
1777278331.9473689,51,240.2197265625
1777278335.1872907,52,250.2690887451172
1777278345.6962643,54,260.9983215332031
1777278346.6266649,55,259.1833190917969
1777278359.1894946,57,247.52386474609375
1777278375.723952,60,267.67822265625
1777278392.5210693,61,261.84552001953125
1777278396.4764588,62,340.4150085449219
1777278401.340373,63,302.8604736328125
1777278433.6602607,65,348.5280456542969
1777278455.5613115,66,378.2316589355469
1777278467.8608675,67,435.09619140625
1777278472.3098624,68,464.1448059082031
1777278478.1297107,70,536.222412109375
1777278479.8920372,71,525.2581787109375
1777278493.1694772,73,348.84600830078125
1777278506.973035,75,485.0443420410156
1777278515.7444582,77,422.8827819824219
1777278529.1246943,79,623.9440307617188
1777278532.054957,80,475.44732666015625
1777278545.660646,82,634.7681274414062
1777278575.0485249,83,658.7938232421875
1777278597.7581718,85,742.0218505859375
1777278609.7572362,86,646.5999145507812
1777278631.948399,89,874.3222045898438
1777278635.1621966,90,742.0103149414062
1777278707.2819421,95,1070.317138671875
1777278750.1084042,99,1513.8817138671875
1777279019.470117,100,1067.883056640625
1777279060.2281435,103,1420.3604736328125
1777279095.0190346,106,1380.697998046875
1777279099.0486348,107,1368.3057861328125
1777279106.110522,109,1174.8380126953125
1777279117.5478868,110,1428.520751953125
1777279156.3613183,114,1415.4171142578125
1777279167.1604967,116,1633.141357421875
1777279210.9313056,121,1900.32275390625
1777279239.5851781,125,1938.904541015625
1777279251.7214866,126,1711.8548583984375
1777279271.3993955,128,2170.88232421875
1777279282.1487594,129,2101.00244140625
1777279288.3187563,130,2262.495849609375
1777279293.5499723,131,2173.489013671875
1777279299.660306,132,1735.099853515625
1777279321.81738,134,1467.4976806640625
1777279349.046526,136,2004.7655029296875
1777279357.0817091,137,2131.389404296875
1777279416.126161,143,1928.127685546875
1777279423.878432,144,2253.93017578125
1777279453.2178438,146,2419.459716796875
1777279460.638318,147,2157.342529296875
1777279552.2747724,150,2298.419921875
1777279615.6315546,157,1756.015625
1777279643.8877676,159,2428.947998046875
1777279655.204927,160,2309.558837890625
1777279675.506989,162,2428.0263671875
1777279694.611312,164,2391.905517578125
1777279722.9176433,166,2519.353515625
1777279781.5657892,170,2544.952392578125
