Wall time,Step,Value
1777392391.6205666,0,0.0
1777392406.9456072,2,0.0
1777392411.3055878,3,0.0
1777392423.6775255,4,0.0
1777392453.3952937,7,0.0
1777392467.181087,9,0.0
1777392472.687885,10,0.0
1777392480.3954632,11,0.0
1777392511.6980767,14,0.0
1777392519.5578816,15,0.0
1777392525.9678016,16,0.0
1777392531.005306,17,0.0
1777392533.5491643,18,0.0
1777392539.1575916,19,0.0
1777392546.2942772,20,0.0
1777392560.183566,22,0.0
1777392562.228099,23,0.0
1777392572.0139554,25,0.0
1777392585.8283656,26,0.0
1777392591.4053195,27,0.0
1777392598.384459,28,0.0
1777392612.4065363,29,0.0
1777392616.0816689,30,0.0
1777392622.3700633,31,0.0
1777392630.5161319,32,15.083590507507324
1777392652.4941788,33,36.167205810546875
1777392656.485844,34,41.301605224609375
1777392664.961072,36,42.78913116455078
1777392667.7534447,37,43.30636215209961
1777392670.2118561,38,45.186344146728516
1777392680.8601956,39,48.29492950439453
1777392682.6867437,40,51.73622512817383
1777392694.0144405,42,54.46702194213867
1777392698.7734187,43,55.397117614746094
1777392739.4694457,47,68.68083190917969
1777392752.4453495,48,69.38276672363281
1777392757.7842197,49,70.70578002929688
1777392851.4598258,50,74.30569458007812
1777392860.0753276,51,75.2204360961914
1777392866.771181,52,79.28057098388672
1777392899.5365639,53,89.7703628540039
1777392926.01677,54,102.18008422851562
1777392956.065556,55,108.35021209716797
1777393008.873796,57,130.81231689453125
1777393021.88962,58,137.9591827392578
1777393075.5302987,60,147.2705535888672
1777393091.4044816,61,152.34164428710938
1777393115.7650955,62,157.54742431640625
1777393124.4697099,63,161.9625244140625
1777393157.4438088,65,169.5823516845703
1777393167.7151833,66,174.48553466796875
1777393189.344645,67,173.84596252441406
1777393200.6228774,68,175.29470825195312
1777393242.8500514,70,179.681884765625
1777393284.9737227,71,185.77366638183594
1777393302.66458,72,192.96522521972656
1777393330.7642283,73,193.97044372558594
1777393382.7610035,75,204.54580688476562
1777393430.158822,77,210.61358642578125
1777393445.839792,78,214.72146606445312
1777393458.969392,79,216.2515869140625
1777393473.6083262,80,213.24246215820312
1777393485.274539,81,216.0008087158203
1777393504.5701628,82,217.35096740722656
1777393521.3786952,83,219.6042022705078
1777393552.8052504,85,222.86363220214844
1777393562.7307131,86,218.57656860351562
1777393578.9149046,87,225.83558654785156
1777393614.8333256,89,221.7311248779297
1777393629.5105064,90,221.590576171875
1777393653.2372413,92,221.00665283203125
1777393683.3798006,94,219.54653930664062
1777393720.040411,95,220.98019409179688
1777393733.5595257,96,218.82505798339844
1777393790.6822577,99,220.66050720214844
1777393904.7880163,100,217.30203247070312
1777393926.495109,101,219.850830078125
1777393945.7989573,103,223.14532470703125
1777393960.5555763,104,216.3071746826172
1777393996.0333667,106,214.20985412597656
1777394011.0354047,107,218.305419921875
1777394023.3933332,108,218.3214111328125
1777394036.7189565,109,219.3555145263672
1777394048.5114732,110,218.30567932128906
1777394054.8010845,111,209.1352081298828
1777394061.9628866,112,221.0679168701172
1777394119.9807227,114,211.21627807617188
1777394129.1821496,115,212.30349731445312
1777394141.268214,116,210.96963500976562
1777394148.3871956,117,205.76922607421875
1777394171.6964898,119,211.7949981689453
1777394177.151186,120,208.25457763671875
1777394185.6932523,121,211.01803588867188
1777394197.4301846,123,211.02455139160156
1777394232.2149339,125,209.3626251220703
1777394241.5437245,126,204.48257446289062
1777394249.7733166,127,203.3622589111328
1777394270.0830748,128,208.73049926757812
1777394280.2944098,129,205.7440185546875
1777394294.0867574,130,207.8223419189453
1777394298.8619678,131,213.55857849121094
1777394308.0578468,132,207.12083435058594
1777394321.8039982,134,204.0970916748047
1777394349.34648,136,201.30589294433594
1777394356.7904537,137,203.98997497558594
1777394362.8629568,138,204.46351623535156
1777394373.1125846,139,203.6703338623047
1777394378.1332412,140,198.6129150390625
1777394387.258084,141,201.3188018798828
1777394405.2639256,143,201.2239532470703
1777394415.903557,144,199.7626495361328
1777394430.2159498,145,196.05799865722656
1777394439.7546396,146,196.865234375
1777394454.6651301,147,198.4044952392578
1777394466.610507,148,200.42576599121094
1777394568.9935114,150,193.50692749023438
1777394593.9149823,153,196.69021606445312
1777394608.4165268,154,197.21824645996094
1777394634.7230878,156,191.72152709960938
1777394652.6218235,157,192.4841766357422
