Wall time,Step,Value
1777089268.0210495,0,0.0
1777089282.1830406,2,0.0
1777089303.9236438,3,0.0
1777089317.75493,4,0.0
1777089335.3678641,9,0.0
1777089341.1246982,10,0.0
1777089344.6215887,11,0.0
1777089374.5607715,14,0.0
1777089385.4808404,15,0.0
1777089391.908241,16,0.0
1777089407.5253782,18,0.0
1777089409.183316,19,0.0
1777089411.035669,20,0.0
1777089420.9570975,22,0.0
1777089422.5501363,23,0.0
1777089435.9940586,26,0.0
1777089446.7749765,27,0.0
1777089450.2465825,28,0.0
1777089455.4130933,29,0.0
1777089459.753094,30,0.0
1777089500.9417293,33,53.6778450012207
1777089533.2027001,34,80.07777404785156
1777089541.1769576,36,108.7415771484375
1777089555.5269032,37,116.04366302490234
1777089560.8982747,38,122.66746520996094
1777089567.5642745,39,122.59325408935547
1777089572.8015013,40,126.7449951171875
1777089620.1973405,47,144.3014373779297
1777089631.2800632,48,152.2667999267578
1777089644.0935178,49,158.128662109375
1777089696.2865226,50,164.59918212890625
1777089707.3791254,51,165.5724639892578
1777089711.4381018,52,169.89405822753906
1777089719.8719711,53,173.81834411621094
1777089730.784662,54,180.07330322265625
1777089735.0739644,55,175.5741729736328
1777089740.1757724,57,175.3289337158203
1777089763.2628071,60,186.5301971435547
1777089766.5107942,61,185.41188049316406
1777089771.7746634,62,192.8005828857422
1777089773.5730274,63,183.74620056152344
1777089784.186735,65,197.15782165527344
1777089813.2101943,66,206.4487762451172
1777089817.1544192,67,218.35223388671875
1777089829.8707747,68,225.4426727294922
1777089841.8605852,70,227.81219482421875
1777089853.479677,71,229.10328674316406
1777089867.5917454,73,236.79229736328125
1777089880.7160933,75,236.06991577148438
1777089888.875055,77,243.05319213867188
1777089900.267362,78,244.00294494628906
1777089907.1103513,79,253.0458221435547
1777089913.7020915,80,249.20889282226562
1777089918.984572,82,239.92140197753906
1777089923.369022,83,247.92457580566406
1777089934.1288278,85,262.0819091796875
1777089938.8850229,86,263.27008056640625
1777089942.495253,87,257.8033447265625
1777089954.580957,89,264.1363525390625
1777089966.1163645,90,269.2608947753906
1777090003.4811552,95,274.32891845703125
1777090043.090234,99,277.8496398925781
1777090107.349951,100,279.5546875
1777090127.518071,103,288.12493896484375
1777090132.8881044,104,289.6484375
1777090144.741931,106,295.6911926269531
1777090149.3128777,107,298.3672180175781
1777090154.4321346,108,298.45343017578125
1777090158.7452948,109,289.1385192871094
1777090164.3421123,110,299.932373046875
1777090179.3584504,111,301.0841979980469
1777090184.2968307,112,309.15045166015625
1777090202.6825736,114,312.0893249511719
1777090211.1716723,115,314.48858642578125
1777090216.5705342,116,315.9803161621094
1777090271.665807,120,333.3994445800781
1777090279.2858062,121,321.0660400390625
1777090308.8745875,125,337.6497497558594
1777090318.7730806,126,330.2933349609375
1777090327.6684313,128,339.2015075683594
1777090332.684215,129,329.88690185546875
1777090335.5398424,130,349.1856689453125
1777090352.2906733,131,336.9358825683594
1777090361.901355,132,344.12139892578125
1777090376.4529696,134,342.78314208984375
1777090390.237451,136,342.7166442871094
1777090391.8149674,137,344.79620361328125
1777090395.0451763,138,344.8795471191406
1777090399.8185067,139,348.6729736328125
1777090419.6043513,143,358.8673095703125
1777090427.6473856,144,347.9013977050781
1777090433.4324644,145,351.0867919921875
1777090435.1561108,146,365.2867431640625
1777090436.6657834,147,349.1488037109375
1777090508.9214544,150,354.0394287109375
1777090536.1083283,154,357.8572692871094
1777090552.581192,156,360.59454345703125
1777090556.578878,157,336.1358337402344
1777090564.5785336,159,372.4013671875
1777090570.4458096,160,355.4267272949219
1777090578.363994,162,354.2118225097656
1777090592.4103017,163,364.2629699707031
1777090605.5441492,164,361.4489440917969
1777090616.628293,166,358.3315124511719
1777090631.651698,168,368.1966552734375
1777090639.9423044,170,360.27178955078125
1777090644.0171037,171,352.6502380371094
1777090646.3898501,172,366.89459228515625
1777090653.8341517,174,349.3226623535156
1777090657.7081046,175,365.7752685546875
1777090661.412548,176,372.8970031738281
1777090664.4664607,177,369.13629150390625
1777090666.068371,178,400.39990234375
1777090675.6326613,180,374.4315185546875
1777090684.5247064,181,367.3756408691406
1777090687.0999537,182,370.2467041015625
1777090691.3847365,183,366.66229248046875
1777090696.2721686,184,361.02459716796875
1777090700.38768,185,387.452880859375
1777090706.4705648,186,364.7235412597656
1777090719.4296167,189,373.5574035644531
1777090721.8001316,190,360.40679931640625
1777090724.9114478,191,369.2685852050781
1777090726.5144694,192,363.2765808105469
1777090743.6727533,195,350.3927307128906
1777090765.2389543,198,350.8503723144531
1777090772.5727167,199,377.41015625
1777090838.9454746,200,375.4185485839844
1777090846.3472226,202,353.28204345703125
1777090850.2925787,203,350.6861267089844
1777090854.229938,204,346.06182861328125
1777090857.8888123,205,354.1667175292969
1777090863.2099595,207,357.1081848144531
1777090870.798269,208,347.94635009765625
1777090873.5357568,209,348.8459777832031
1777090889.6569803,211,357.91064453125
1777090899.307369,213,348.7313232421875
1777090910.9862597,215,352.06842041015625
1777090916.7015772,216,362.31744384765625
1777090941.7635233,218,347.21539306640625
1777090944.5841646,219,349.4049377441406
1777090952.3766382,220,351.5770568847656
1777090955.9339983,221,362.52520751953125
1777090968.0831962,222,350.8007507324219
1777090975.8696384,224,354.23541259765625
1777090978.109527,225,342.7076721191406
1777090984.2898295,226,338.2030334472656
1777091016.8009877,229,348.8416748046875
1777091030.3812866,231,340.2195739746094
1777091034.2614708,232,349.0223693847656
1777091048.6785982,234,357.86431884765625
1777091051.3316681,235,349.3465270996094
1777091057.3098154,236,335.04425048828125
1777091064.9629388,237,341.8230895996094
1777091072.819288,238,342.8206787109375
1777091075.4466753,239,357.621337890625
1777091085.3241298,241,346.11883544921875
1777091090.660349,242,346.6532897949219
1777091104.2725782,244,349.39544677734375
1777091113.1799724,245,344.88458251953125
1777091117.3620129,246,334.9697265625
1777091125.0504801,247,347.4496154785156
1777091126.946153,248,371.0689697265625
1777091133.010445,249,346.3789367675781
1777091184.0504618,252,334.8878479003906
1777091186.7189922,253,351.1705627441406
1777091191.4140053,254,341.76409912109375
1777091195.5905626,255,337.80889892578125
1777091203.792547,257,349.3143615722656
1777091207.5368311,258,333.69354248046875
1777091214.4509168,259,326.5177001953125
1777091219.4151175,260,331.3823547363281
1777091227.007789,262,317.5558776855469
1777091230.1043487,263,331.3222351074219
1777091254.112487,268,331.7577819824219
1777091263.9406707,270,333.5369567871094
1777091270.4648397,271,327.2242431640625
1777091288.5864332,274,312.89337158203125
1777091293.9971468,275,335.83209228515625
1777091301.184884,276,324.7108154296875
1777091308.6037092,278,327.5772705078125
1777091313.5445018,279,334.0215759277344
1777091318.0570471,280,331.8076477050781
1777091327.826436,281,342.20361328125
1777091330.3562477,282,325.8766174316406
1777091339.373056,283,316.2097473144531
1777091341.7513335,284,321.1709899902344
1777091347.3799734,285,327.9678955078125
1777091354.5599303,287,315.4093933105469
1777091360.4621718,288,321.893798828125
1777091368.756431,290,336.67327880859375
1777091374.8515174,291,304.0604553222656
1777091397.8059268,295,335.50799560546875
1777091403.2624412,296,313.4159851074219
1777091412.8809466,297,322.8251037597656
1777091428.3365433,298,317.045654296875
1777091438.7188828,299,325.33709716796875
1777091475.598824,300,329.3468017578125
1777091490.4424992,304,312.5128173828125
1777091493.7576437,305,312.7546081542969
1777091500.066542,306,319.5340576171875
1777091508.3454745,307,317.13238525390625
1777091511.6826136,308,300.5335693359375
1777091525.914162,309,317.2689208984375
1777091531.3906074,311,307.3081359863281
1777091534.9171653,312,318.3305969238281
1777091539.3073475,313,316.9229431152344
1777091544.630595,314,319.4999694824219
1777091547.0096161,315,317.5023498535156
1777091553.815525,316,303.249755859375
1777091560.1191928,318,299.7969055175781
1777091566.5696454,319,304.15985107421875
1777091570.788927,320,316.7606201171875
1777091578.9807272,321,297.3106384277344
1777091582.0059464,322,302.65179443359375
1777091591.670131,324,297.7569580078125
1777091604.332782,327,295.64080810546875
1777091617.9173565,329,323.1674499511719
1777091620.3825936,330,284.2803649902344
1777091625.4171455,331,284.7496337890625
1777091629.6540082,332,290.49053955078125
1777091634.1413784,333,325.36859130859375
1777091646.3802931,337,305.52001953125
1777091650.41928,338,305.18389892578125
1777091658.2202642,340,293.4705810546875
1777091668.565756,342,301.09991455078125
1777091672.8919396,343,292.6125793457031
1777091678.1987438,344,305.203369140625
1777091685.0765898,345,297.29437255859375
1777091691.6245275,346,280.5278015136719
