Wall time,Step,Value
1777344535.822872,0,0.0
1777344554.192608,2,0.0
1777344556.9175606,3,0.0
1777344564.3906653,4,0.0
1777344612.9110541,10,0.0
1777344624.4962993,11,0.0
1777344646.888973,14,0.0
1777344653.8005226,15,0.0
1777344659.744455,16,0.0
1777344665.7545125,18,0.0
1777344670.3630147,19,0.0
1777344685.5448065,20,0.0
1777344696.5441084,22,0.0
1777344707.8935468,23,0.0
1777344726.1502984,26,0.0
1777344747.4584684,28,0.0
1777344768.8114123,29,9.393442153930664
1777344782.6048205,31,24.152938842773438
1777344792.7785926,33,25.202762603759766
1777344794.1339064,34,27.111482620239258
1777344806.2559652,36,29.333608627319336
1777344808.4964275,37,28.308313369750977
1777344813.8767412,38,30.4012451171875
1777344814.8281708,39,29.74881362915039
1777344821.7909338,40,32.64033508300781
1777344883.5652084,47,57.27168273925781
1777344909.8644643,48,60.92045211791992
1777344912.8627343,49,70.2837142944336
1777345006.321257,50,72.89274597167969
1777345013.4365418,51,75.90271759033203
1777345029.9392512,52,82.86327362060547
1777345049.2004488,54,91.00408172607422
1777345058.455556,56,92.74585723876953
1777345063.411124,58,94.57977294921875
1777345076.7395813,60,96.66950225830078
1777345080.0607567,61,99.86824798583984
1777345082.9529305,62,98.43122863769531
1777345088.992703,63,99.34062194824219
1777345098.768905,65,104.08182525634766
1777345103.48026,66,102.2505874633789
1777345108.6971242,67,104.70978546142578
1777345117.257713,69,110.82133483886719
1777345121.509939,70,108.27803802490234
1777345124.9127188,71,108.84889221191406
1777345135.6664817,73,110.33953857421875
1777345166.1317377,76,121.11864471435547
1777345168.0865622,77,118.20381164550781
1777345181.6870642,79,121.76374053955078
1777345183.596402,80,118.01053619384766
1777345190.3013964,82,129.37269592285156
1777345221.865615,84,125.81062316894531
1777345262.410256,85,134.55999755859375
1777345274.6893194,86,144.5729217529297
1777345291.1857476,89,148.3992462158203
1777345317.3579955,92,153.50811767578125
1777345345.2863812,95,162.8490753173828
1777345374.5284576,99,166.0984649658203
1777345452.9306324,100,169.61663818359375
1777345472.2517776,103,173.67416381835938
1777345522.4359775,106,187.2651824951172
1777345560.4484103,107,197.46726989746094
1777345583.5124552,109,209.7318878173828
1777345590.1400805,110,207.36610412597656
1777345595.3404849,111,209.879150390625
1777345616.91367,114,212.5550994873047
1777345621.7956772,115,207.58116149902344
1777345701.5848668,119,224.32508850097656
1777345762.9725888,124,224.61012268066406
1777345769.215336,125,225.46969604492188
1777345778.5019088,126,229.96315002441406
1777345792.4977005,128,223.02655029296875
1777345799.7246034,129,226.5845489501953
1777345808.8713236,130,227.04116821289062
1777345822.5307276,131,227.86920166015625
1777345836.7330956,132,228.36105346679688
1777345859.1175084,134,228.58950805664062
1777345871.5783396,135,229.37237548828125
1777345889.5233037,136,230.05520629882812
1777345978.6214278,142,226.84234619140625
1777346021.9046578,144,230.8223876953125
1777346030.0646646,145,232.83494567871094
1777346074.0998054,147,234.6820526123047
1777346246.2865336,154,228.82147216796875
1777346279.5605462,157,236.3590087890625
