Wall time,Step,Value
1777344535.822888,0,0.0
1777344554.1926236,2,0.0
1777344556.917577,3,0.0
1777344564.390681,4,0.0
1777344612.9110699,10,0.0
1777344624.4963148,11,0.0
1777344646.888989,14,0.0
1777344653.8005378,15,0.0
1777344659.7444708,16,0.0
1777344665.7545283,18,0.0
1777344670.36303,19,0.0
1777344685.5448236,20,0.0
1777344696.5441244,22,0.0
1777344707.893563,23,0.0
1777344726.1503148,26,0.0
1777344747.4584854,28,0.0
1777344768.8114276,29,560.6142578125
1777344782.6048355,31,349.6273498535156
1777344792.7786071,33,242.5401611328125
1777344794.133921,34,237.69808959960938
1777344806.2559805,36,218.18310546875
1777344808.4964428,37,182.42575073242188
1777344813.8767564,38,184.17649841308594
1777344814.8281863,39,193.37889099121094
1777344821.7909493,40,153.82693481445312
1777344883.565224,47,280.5240783691406
1777344909.8644798,48,294.7928161621094
1777344912.8627498,49,467.7027282714844
1777345006.3212724,50,417.6179504394531
1777345013.4365566,51,395.4196472167969
1777345029.9392664,52,353.978759765625
1777345049.200464,54,401.0401611328125
1777345058.4555714,56,323.2320556640625
1777345063.4111395,58,331.4625244140625
1777345076.7395968,60,356.29638671875
1777345080.060772,61,419.4137268066406
1777345082.952946,62,325.83868408203125
1777345088.9927182,63,366.79010009765625
1777345098.7689204,65,390.6160888671875
1777345103.4802752,66,357.0425720214844
1777345108.6971397,67,411.1580505371094
1777345117.2577283,69,454.4486083984375
1777345121.5099537,70,461.5951232910156
1777345124.9127343,71,406.2769470214844
1777345135.6664965,73,412.6216125488281
1777345166.1317527,76,548.415283203125
1777345168.0865774,77,512.8740844726562
1777345181.6870794,79,484.6315612792969
1777345183.5964198,80,595.1464233398438
1777345190.3014123,82,471.74700927734375
1777345221.8656304,84,512.1915893554688
1777345262.4102712,85,551.33447265625
1777345274.6893349,86,654.2000122070312
1777345291.1857638,89,726.7131958007812
1777345317.3580112,92,743.8710327148438
1777345345.286398,95,1042.1180419921875
1777345374.5284731,99,992.7693481445312
1777345452.9306479,100,958.5739135742188
1777345472.2517924,103,786.3162231445312
1777345522.4359927,106,1053.8890380859375
1777345560.4484258,107,1092.1402587890625
1777345583.512471,109,1302.053466796875
1777345590.1400964,110,1234.362548828125
1777345595.3405006,111,1108.253662109375
1777345616.9136856,114,1466.8072509765625
1777345621.7956924,115,1233.2431640625
1777345701.5848813,119,1507.6602783203125
1777345762.9726045,124,1157.2647705078125
1777345769.2153509,125,1544.9871826171875
1777345778.5019238,126,1395.438232421875
1777345792.497715,128,1281.6627197265625
1777345799.724619,129,1547.3277587890625
1777345808.871339,130,1342.9031982421875
1777345822.530743,131,1595.259521484375
1777345836.7331116,132,1286.5623779296875
1777345859.1175237,134,1244.2891845703125
1777345871.5783548,135,1301.1484375
1777345889.5233185,136,1472.9537353515625
1777345978.6214433,142,1346.69091796875
1777346021.9046736,144,1521.5870361328125
1777346030.0646794,145,1486.037841796875
1777346074.0998206,147,1443.9317626953125
1777346246.2865484,154,1182.0616455078125
1777346279.560561,157,1632.12548828125
1777346291.4323745,158,1591.875732421875
1777346305.7147822,159,1439.89990234375
1777346333.4844706,161,1589.3128662109375
1777346341.389402,162,1656.9620361328125
1777346362.3874774,164,1208.0675048828125
1777346392.395045,166,1602.07666015625
1777346415.4730563,168,1141.9736328125
1777346429.1049724,169,1368.546630859375
1777346473.6471946,172,1020.2456665039062
1777346475.7082927,173,1083.7452392578125
1777346484.1080043,174,1060.4365234375
1777346488.4997842,175,1121.38427734375
1777346500.3623648,177,1094.1922607421875
1777346511.2055616,178,1483.1248779296875
1777346520.2345676,180,1235.25341796875
1777346527.2667758,181,1335.9776611328125
1777346535.5178704,182,1497.9549560546875
1777346545.0317476,183,1178.392822265625
1777346563.5810843,185,1279.3009033203125
1777346573.780436,186,1431.71240234375
1777346582.0259283,188,2228.412109375
1777346588.722094,189,1452.8341064453125
1777346617.3719735,192,1420.4239501953125
1777346641.9787545,195,1018.9386596679688
1777346649.157301,196,1088.71337890625
1777346654.0170944,197,1087.780029296875
1777346662.7502894,198,1505.5140380859375
1777346668.4445386,199,1495.631103515625
1777346728.0424576,200,1529.8802490234375
1777346734.6006987,202,1365.2586669921875
1777346745.9184563,204,1233.2113037109375
1777346762.3266225,206,1833.9625244140625
1777346774.6885073,208,1253.005615234375
1777346790.5330436,210,1065.3697509765625
1777346821.8155932,212,1171.7301025390625
1777346830.3059158,213,1228.0146484375
1777346843.1569371,215,1034.4404296875
1777346849.0495958,216,1422.255859375
1777346860.537201,217,1201.8189697265625
1777346867.3281524,218,1148.035400390625
1777346873.9118347,219,1071.98193359375
1777346890.559826,221,978.5066528320312
1777346912.4565973,222,1474.3507080078125
1777346941.8524516,224,1767.93408203125
1777346980.3369381,227,1073.1475830078125
1777347024.533922,231,1684.656494140625
1777347031.14119,232,1092.94384765625
1777347041.3475714,233,936.67578125
1777347046.8433836,234,988.0499877929688
1777347061.9106936,235,1060.3756103515625
1777347076.613307,236,995.35205078125
1777347090.6310737,237,1098.5765380859375
1777347108.1206203,239,917.8028564453125
1777347125.498458,241,1412.8759765625
1777347142.213622,242,1119.7318115234375
1777347152.2625573,243,1000.3607177734375
1777347186.204233,247,785.07958984375
1777347195.2755218,248,936.8597412109375
1777347199.5163114,249,1136.1605224609375
1777347268.350485,250,961.0708618164062
1777347288.908309,252,1120.033935546875
1777347301.7441764,253,980.4298095703125
1777347309.9000652,254,1111.529541015625
1777347367.698427,257,1109.99365234375
1777347371.9684615,258,891.03369140625
1777347433.4556513,264,1023.2747802734375
1777347455.3145103,265,927.9761962890625
1777347489.937004,267,1176.66796875
1777347508.297897,269,896.5184936523438
1777347512.083439,270,850.8573608398438
1777347517.9472961,271,1118.428466796875
1777347554.0083516,274,1226.7203369140625
1777347578.704512,276,888.8790893554688
1777347607.087849,278,1512.2205810546875
1777347621.158824,279,1354.71875
1777347632.9788,281,1797.0330810546875
1777347656.5340066,283,1010.531982421875
1777347668.828743,284,2378.1279296875
1777347693.6411395,286,1535.7327880859375
1777347781.3725538,290,966.6405029296875
1777347799.9083054,291,1443.885009765625
1777347808.956339,292,1424.777587890625
1777347841.0945802,293,1130.038330078125
1777347847.8763416,294,816.6909790039062
1777347855.2046568,295,809.7208862304688
1777347964.588411,300,747.2778930664062
1777347973.8344717,301,811.2479248046875
1777347979.086512,302,794.3389892578125
1777347988.4353693,303,1679.2451171875
1777348002.1352913,304,891.0049438476562
1777348009.8808982,305,748.96044921875
1777348034.3909712,307,804.75048828125
1777348043.8750937,308,770.8580322265625
1777348065.231613,311,683.0601806640625
1777348083.9144192,313,1079.9991455078125
1777348089.7079575,314,1371.2069091796875
1777348101.8554757,315,1467.554931640625
1777348120.6190825,318,1157.1766357421875
1777348163.133313,321,668.735107421875
1777348201.0064266,325,658.958251953125
1777348217.1332467,326,976.819091796875
1777348240.611493,327,665.4397583007812
1777348253.9592876,328,1207.8074951171875
1777348295.7049577,332,1023.1334838867188
1777348308.5182905,333,1370.33154296875
1777348312.3144362,334,751.8274536132812
1777348319.3365855,336,1551.4898681640625
1777348334.5031796,338,668.094970703125
1777348351.0613568,340,1545.7283935546875
1777348364.0633872,341,974.3785400390625
1777348383.3729281,342,693.3695678710938
1777348393.7163439,344,591.1883544921875
1777348398.5101311,345,1228.498291015625
1777348438.530568,347,647.1221923828125
1777348452.6104684,348,606.2276000976562
1777348463.993958,349,1158.28173828125
1777348547.9333131,351,671.2515258789062
1777348552.4902558,352,646.1824951171875
1777348558.6837788,353,656.3770751953125
1777348567.479859,355,590.9476318359375
1777348570.1660988,356,2076.60595703125
1777348598.2169719,358,883.9008178710938
1777348613.3215382,359,836.8540649414062
1777348625.7028952,360,1031.286865234375
1777348629.3508208,361,1239.78662109375
1777348637.332347,362,1093.32958984375
1777348651.1542838,363,1008.8401489257812
1777348658.0595214,364,593.4996948242188
1777348703.6087272,368,1215.56591796875
1777348747.5785785,372,602.692626953125
1777348766.852065,373,496.5855407714844
1777348827.465524,378,1096.65234375
1777348840.5416098,379,656.6438598632812
1777348855.4793496,380,486.2604064941406
1777348873.9307332,382,464.2289123535156
1777348880.3899107,383,421.4095764160156
1777348897.2814586,384,662.105712890625
1777348903.82691,385,1009.01220703125
1777348911.272221,386,475.8288269042969
1777348914.1637754,387,478.90557861328125
1777348929.5570364,389,492.5924987792969
1777348934.506642,390,579.8858032226562
1777348951.001029,391,442.8303527832031
1777348960.6671906,392,767.7765502929688
1777348969.0836627,393,701.3014526367188
1777348973.2440736,394,466.9527893066406
1777348991.912515,395,450.2673034667969
1777349009.4692414,397,384.0883483886719
1777349037.00051,399,615.5609130859375
1777349122.8210125,401,407.70782470703125
1777349129.512603,402,453.2785339355469
1777349153.925387,404,592.8538208007812
1777349176.1369035,407,314.7411193847656
1777349190.6830797,408,309.3341064453125
1777349198.6175756,409,286.3331604003906
1777349233.2357671,412,276.8857421875
1777349250.367673,413,276.4679260253906
1777349264.804388,414,280.4762268066406
1777349284.3356946,416,244.46249389648438
1777349296.2364218,417,262.2816162109375
1777349324.427437,419,268.5167236328125
1777349349.041807,421,252.7759246826172
1777349377.0400364,423,240.04165649414062
1777349442.006712,428,240.86927795410156
1777349452.422171,429,243.39804077148438
1777349466.6285076,430,268.90087890625
1777349482.3768525,431,238.47979736328125
1777349488.7855055,432,218.66677856445312
1777349498.8501146,433,252.84503173828125
1777349509.7682092,434,241.5995330810547
1777349522.837749,435,212.69735717773438
1777349555.8546753,437,214.74960327148438
1777349561.154583,438,223.7204132080078
1777349572.4266946,439,206.51547241210938
1777349580.1553028,440,190.54592895507812
1777349613.5217226,443,176.66883850097656
1777349636.2232108,444,175.6012725830078
1777349641.4736779,445,176.49659729003906
1777349649.4363534,446,176.98817443847656
1777349657.2542553,447,175.36929321289062
1777349679.4504254,449,169.85107421875
1777349751.8549025,451,172.76072692871094
1777349758.2696786,452,171.636474609375
1777349795.6331775,454,170.00083923339844
1777349809.5131142,455,198.48837280273438
1777349820.0571969,456,176.9580535888672
1777349857.467887,459,169.302001953125
1777349870.1832192,460,171.5362091064453
1777349886.2781177,462,140.46456909179688
1777349899.6838834,463,149.32192993164062
1777349922.4284408,465,153.65460205078125
1777349929.5444233,466,150.26971435546875
1777349946.8159883,468,175.42271423339844
1777349968.6727438,470,146.25332641601562
1777349980.7813451,471,148.12518310546875
1777349989.210001,473,137.1284942626953
1777350001.2640612,474,174.62379455566406
1777350009.529322,475,153.09768676757812
1777350039.0521822,477,140.578369140625
1777350050.3916478,478,135.52548217773438
1777350063.1322982,479,131.5048370361328
1777350080.9042957,481,136.065185546875
1777350083.2983506,482,126.70903015136719
1777350095.6451917,483,129.8985137939453
1777350104.6281238,484,126.91554260253906
1777350113.101613,485,124.6704330444336
1777350147.9942708,488,133.67286682128906
1777350170.1175568,490,129.84239196777344
1777350178.4848723,491,121.87489318847656
1777350207.2038338,493,131.10838317871094
1777350225.6918294,495,134.2852325439453
1777350253.067165,497,117.55589294433594
1777350259.5278401,498,105.64403533935547
1777350272.8081794,499,118.96642303466797
1777350360.4810398,501,114.30555725097656
1777350381.7882373,502,112.00524139404297
1777350389.085434,503,118.65480041503906
1777350399.203584,504,107.22086334228516
1777350435.261416,506,109.16512298583984
1777350453.1442695,507,101.37853240966797
1777350459.77556,508,102.66136169433594
1777350470.7900078,509,103.01383209228516
1777350504.3999403,510,100.88408660888672
1777350512.6374955,511,96.65138244628906
1777350520.7083366,512,111.99382019042969
1777350523.3978527,513,114.35424041748047
1777350585.042594,517,95.03590393066406
1777350603.4397268,518,105.18751525878906
1777350657.8507133,523,97.74476623535156
1777350692.8407066,527,98.79478454589844
1777350707.5256414,528,89.59290313720703
1777350714.4286773,529,84.8740234375
1777350728.265895,530,90.59368133544922
1777350737.7059972,531,91.58606719970703
1777350746.8356762,532,94.79269409179688
1777350760.1992345,533,79.7695541381836
1777350766.6602752,534,79.59143829345703
1777350780.5283637,535,99.91786193847656
