Wall time,Step,Value
1777133920.1236718,0,0.0
1777133934.00886,2,0.0
1777133937.7043483,3,0.0
1777133947.356148,4,0.0
1777133997.8568885,10,0.0
1777134000.8937871,11,0.0
1777134036.3460956,14,0.0
1777134041.9974492,15,0.0
1777134053.7757883,18,0.0
1777134063.330262,19,0.0
1777134071.4906247,20,0.0
1777134089.5602286,22,0.0
1777134091.967465,23,0.0
1777134102.6837022,26,0.0
1777134109.5348465,27,0.0
1777134129.3605516,29,0.0
1777134193.8197193,33,27.86166000366211
1777134223.0317128,34,42.074249267578125
1777134249.7420137,36,56.04044723510742
1777134263.7645602,37,51.52991485595703
1777134269.0822403,38,51.1908073425293
1777134286.027302,39,50.2176399230957
1777134288.6005251,40,51.18620300292969
1777134382.9318447,47,131.6018524169922
1777134389.8803496,48,135.7027587890625
1777134396.1260834,49,139.14833068847656
1777134485.0915086,51,154.2176055908203
1777134496.5590687,52,159.1094512939453
1777134505.5653548,54,164.81646728515625
1777134536.0059428,55,185.56085205078125
1777134554.7737937,57,213.72100830078125
1777134567.8842752,60,216.41929626464844
1777134573.1093175,61,221.09381103515625
1777134586.7992299,62,221.6553497314453
1777134631.2222183,63,237.70529174804688
1777134654.3159003,65,253.97341918945312
1777134669.85415,66,258.56036376953125
1777134673.163504,67,261.3781433105469
1777134679.6151652,68,251.97120666503906
1777134688.6773567,70,247.49905395507812
1777134695.0475557,71,256.9144592285156
1777134779.50696,77,276.6116943359375
1777134851.5202556,79,305.77911376953125
1777134870.226572,80,319.0662841796875
1777134901.0224595,82,333.427978515625
1777134923.663715,83,336.0567626953125
1777134964.224142,85,346.6726379394531
1777134999.4842937,86,352.8475036621094
1777135057.8994424,89,375.5129089355469
1777135073.4322095,90,362.6025085449219
1777135124.4802318,95,358.97186279296875
1777135164.4021358,99,369.1579895019531
1777135254.2575045,100,375.125732421875
1777135302.5473905,103,370.0376281738281
1777135368.1527662,106,375.59814453125
1777135375.7885976,107,387.4789123535156
1777135403.7092607,109,377.12359619140625
1777135410.8813114,110,381.4860534667969
1777135456.717762,114,376.0090026855469
1777135479.135855,116,351.4797668457031
1777135552.7188637,121,377.53790283203125
1777135603.2884028,125,362.66998291015625
1777135609.0121322,126,380.87384033203125
1777135637.1776748,128,368.2942199707031
1777135640.4686558,129,382.1729431152344
1777135648.7042782,130,374.24639892578125
1777135657.475413,131,395.4471130371094
1777135670.9590101,132,384.82977294921875
1777135698.7718806,134,379.3138732910156
1777135723.6040268,136,371.1965026855469
1777135735.733383,137,371.490966796875
1777135807.338472,143,349.69207763671875
1777135821.1681597,144,355.8038635253906
1777135846.7297003,146,351.7398681640625
1777135857.2960813,147,365.37060546875
1777135961.8069086,150,353.9435729980469
1777136062.2146516,157,353.6046447753906
1777136074.6016672,159,341.42431640625
1777136084.0080237,160,363.08428955078125
1777136110.3213215,162,340.9752197265625
1777136138.339339,164,363.40997314453125
1777136153.1517913,166,347.8460693359375
1777136192.4329584,170,332.9883728027344
