Wall time,Step,Value
1777133920.123688,0,0.0
1777133934.0088756,2,0.0
1777133937.704364,3,0.0
1777133947.3561635,4,0.0
1777133997.856904,10,0.0
1777134000.8938026,11,0.0
1777134036.3461106,14,0.0
1777134041.997465,15,0.0
1777134053.775804,18,0.0
1777134063.330278,19,0.0
1777134071.4906404,20,0.0
1777134089.5602436,22,0.0
1777134091.9674807,23,0.0
1777134102.6837187,26,0.0
1777134109.5348616,27,0.0
1777134129.360567,29,0.0
1777134193.8197348,33,1048.4920654296875
1777134223.0317283,34,641.8032836914062
1777134249.7420294,36,522.8421020507812
1777134263.7645757,37,500.79638671875
1777134269.0822551,38,469.0473937988281
1777134286.0273175,39,489.53070068359375
1777134288.6005402,40,460.4009704589844
1777134382.93186,47,1488.4053955078125
1777134389.8803642,48,1488.76025390625
1777134396.126099,49,1364.3800048828125
1777134485.0915234,51,1738.7579345703125
1777134496.559084,52,1404.883544921875
1777134505.5653698,54,1557.148681640625
1777134536.005958,55,1637.35107421875
1777134554.7738097,57,1765.916748046875
1777134567.884291,60,2634.738525390625
1777134573.1093328,61,3136.1982421875
1777134586.7992456,62,1637.6534423828125
1777134631.2222333,63,2181.139404296875
1777134654.315916,65,2917.969482421875
1777134669.8541653,66,3140.043701171875
1777134673.1635187,67,1649.38671875
1777134679.615181,68,3640.832275390625
1777134688.677373,70,2278.010498046875
1777134695.0475712,71,5146.498046875
1777134779.5069754,77,4162.37939453125
1777134851.5202703,79,3526.55224609375
1777134870.2265873,80,3709.280029296875
1777134901.022475,82,4390.8564453125
1777134923.66373,83,4815.654296875
1777134964.224158,85,5501.61962890625
1777134999.4843094,86,5436.302734375
1777135057.8994575,89,2141.14111328125
1777135073.4322248,90,4204.42724609375
1777135124.4802468,95,6327.6337890625
1777135164.4021506,99,6497.8935546875
1777135254.25752,100,6146.4970703125
1777135302.5474052,103,6599.73876953125
1777135368.1527812,106,6155.1025390625
1777135375.7886124,107,9700.3857421875
1777135403.709276,109,9380.5732421875
1777135410.8813264,110,8531.4189453125
1777135456.717777,114,6251.46630859375
1777135479.1358695,116,5894.63525390625
1777135552.7188785,121,6043.84033203125
1777135603.288418,125,3106.354248046875
1777135609.0121474,126,8155.6220703125
1777135637.1776898,128,7465.79931640625
1777135640.4686706,129,10161.8896484375
1777135648.704294,130,4204.64208984375
1777135657.4754283,131,6569.24853515625
1777135670.9590254,132,6671.466796875
1777135698.771896,134,9983.2822265625
1777135723.604042,136,6496.8798828125
1777135735.733398,137,5869.88037109375
1777135807.3384871,143,6430.361328125
1777135821.1681743,144,12787.99609375
1777135846.7297153,146,9899.708984375
1777135857.2960966,147,5489.4453125
1777135961.8069236,150,4369.14794921875
1777136062.2146668,157,5886.49267578125
1777136074.6016824,159,4544.5380859375
1777136084.008039,160,5218.66015625
1777136110.3213398,162,5428.46142578125
1777136138.3393533,164,7666.9853515625
1777136153.1518056,166,8623.8583984375
1777136192.4329724,170,9531.1142578125
1777136200.8389127,171,23935.6171875
1777136222.6227643,172,6631.7255859375
1777136258.228567,175,9303.63671875
1777136274.712231,176,6033.08349609375
1777136295.2320457,177,6405.9775390625
1777136317.4170403,178,8715.0732421875
1777136342.245507,180,4140.7470703125
1777136358.8636794,181,4733.84375
1777136397.2277389,184,6867.115234375
1777136408.8720388,185,6604.19580078125
1777136424.2200212,186,6350.83251953125
1777136455.7964642,189,3923.737548828125
1777136483.8653724,190,8382.16015625
1777136498.801617,191,9204.71484375
1777136508.6814208,192,6690.64111328125
1777136551.7007015,195,9172.73828125
1777136588.004525,198,6393.9560546875
1777136603.1156971,199,4387.36376953125
1777136704.5382767,200,5790.533203125
1777136744.1377375,202,4311.26953125
1777136758.6032166,203,3911.330810546875
1777136764.22005,204,11539.275390625
1777136774.2542503,205,4357.1015625
1777136823.0816526,207,4258.95458984375
1777136855.6713684,209,6748.77978515625
1777136895.5199208,211,6122.669921875
1777136926.1349413,213,5827.93798828125
1777136982.1768723,215,3587.7470703125
1777136994.774262,216,16813.4375
1777137026.8299098,218,4136.38427734375
1777137040.5245588,219,4478.5576171875
1777137063.8284411,220,9318.228515625
1777137088.087188,221,5409.42041015625
1777137129.9462354,222,6574.556640625
1777137164.9145954,224,11862.537109375
1777137182.7488,225,13812.6201171875
1777137260.247685,229,6021.69775390625
1777137365.7001867,232,5536.728515625
1777137458.532195,235,9509.9326171875
1777137507.1920154,237,7075.3232421875
1777137527.1193044,238,12362.8203125
1777137549.1677058,239,2507.20166015625
1777137583.267411,241,3041.217041015625
1777137600.4469655,242,19381.451171875
1777137636.3984754,244,2736.391357421875
1777137673.1522331,245,11046.56640625
1777137705.1971877,246,5897.19970703125
1777137732.0887086,247,6638.498046875
1777137966.9036875,252,1719.8758544921875
1777137993.9019349,253,1566.680908203125
1777138033.2779853,254,1609.3780517578125
