Wall time,Step,Value
1777089268.0210655,0,0.0
1777089282.1830564,2,0.0
1777089303.9236593,3,0.0
1777089317.7549455,4,0.0
1777089335.3678794,9,0.0
1777089341.124714,10,0.0
1777089344.6216047,11,0.0
1777089374.5607872,14,0.0
1777089385.4808562,15,0.0
1777089391.908257,16,0.0
1777089407.525394,18,0.0
1777089409.1833313,19,0.0
1777089411.0356846,20,0.0
1777089420.957113,22,0.0
1777089422.5501518,23,0.0
1777089435.9940743,26,0.0
1777089446.7749922,27,0.0
1777089450.2465975,28,0.0
1777089455.413109,29,0.0
1777089459.753109,30,0.0
1777089500.9417443,33,6016.87109375
1777089533.2027152,34,3932.462890625
1777089541.1769729,36,2861.276611328125
1777089555.5269184,37,2260.248291015625
1777089560.89829,38,1947.3651123046875
1777089567.5642896,39,1696.0709228515625
1777089572.8015163,40,1574.43603515625
1777089620.1973553,47,1150.5584716796875
1777089631.2800784,48,1435.6337890625
1777089644.0935335,49,1304.2564697265625
1777089696.2865376,50,1281.020263671875
1777089707.3791406,51,1145.326171875
1777089711.4381168,52,1126.925537109375
1777089719.8719862,53,1197.977783203125
1777089730.7846773,54,1235.03515625
1777089735.0739791,55,1323.4794921875
1777089740.1757874,57,1309.42724609375
1777089763.2628224,60,1258.825439453125
1777089766.5108094,61,1297.6640625
1777089771.7746782,62,1215.0010986328125
1777089773.5730424,63,997.0589599609375
1777089784.1867502,65,1236.4681396484375
1777089813.2102096,66,1315.2962646484375
1777089817.1544342,67,1283.5283203125
1777089829.8708034,68,1521.3145751953125
1777089841.860601,70,1740.3548583984375
1777089853.479692,71,1472.4439697265625
1777089867.59176,73,1993.1378173828125
1777089880.7161083,75,1994.409912109375
1777089888.8750699,77,1342.6224365234375
1777089900.2673771,78,2592.357421875
1777089907.1103666,79,2832.350341796875
1777089913.7021065,80,1783.8057861328125
1777089918.9845865,82,1434.9517822265625
1777089923.3690364,83,1783.2550048828125
1777089934.1288428,85,2075.852294921875
1777089938.885038,86,3477.4853515625
1777089942.4952724,87,2018.4271240234375
1777089954.5809715,89,2690.178955078125
1777089966.11638,90,3907.6435546875
1777090003.4811704,95,2522.65087890625
1777090043.090249,99,2643.5771484375
1777090107.3499653,100,2273.98193359375
1777090127.5180855,103,1834.365478515625
1777090132.8881197,104,2551.783447265625
1777090144.7419453,106,2270.8955078125
1777090149.312892,107,2597.829833984375
1777090154.4321494,108,3035.747314453125
1777090158.7453094,109,2691.800537109375
1777090164.3421266,110,2433.53369140625
1777090179.3584661,111,2628.207763671875
1777090184.2968452,112,2419.444580078125
1777090202.682588,114,2232.600341796875
1777090211.1716871,115,3282.601318359375
1777090216.5705483,116,2115.658203125
1777090271.6658218,120,1851.5169677734375
1777090279.2858207,121,3842.22509765625
1777090308.8746026,125,2476.4423828125
1777090318.7730951,126,2973.276611328125
1777090327.6684456,128,6605.46533203125
1777090332.6842299,129,3581.012939453125
1777090335.5398645,130,1914.8302001953125
1777090352.2906878,131,2482.742431640625
1777090361.90137,132,2542.861572265625
1777090376.4529843,134,3986.6923828125
1777090390.2374654,136,5229.501953125
1777090391.814982,137,1990.4515380859375
1777090395.0451906,138,4502.43212890625
1777090399.818521,139,3442.480224609375
