Episode:  1000 | Steps: 204 | Reward:  -391.83 | A_Loss: 0.9214 | C_Loss: 7.3574
Episode:  1001 | Steps: 157 | Reward:    34.22 | A_Loss: 0.3190 | C_Loss: 6.0064
Episode:  1002 | Steps:  82 | Reward:   -35.56 | A_Loss: 0.3287 | C_Loss: 5.3194
Episode:  1003 | Steps: 226 | Reward:     5.31 | A_Loss: 0.8799 | C_Loss: 5.5678
Episode:  1004 | Steps:  28 | Reward:    40.87 | A_Loss: 0.9890 | C_Loss: 5.7700
Episode:  1005 | Steps: 226 | Reward:    64.01 | A_Loss: 0.8812 | C_Loss: 5.4361
Episode:  1006 | Steps: 194 | Reward:    67.95 | A_Loss: 0.5968 | C_Loss: 5.6992
Episode:  1007 | Steps: 202 | Reward:    37.56 | A_Loss: 0.1490 | C_Loss: 5.3734
Episode:  1008 | Steps: 225 | Reward:  -436.36 | A_Loss: -0.2098 | C_Loss: 5.7499
Episode:  1009 | Steps:  40 | Reward:    20.87 | A_Loss: -0.2118 | C_Loss: 6.8475
Episode:  1010 | Steps:  63 | Reward:    36.94 | A_Loss: -0.3947 | C_Loss: 6.5657
Episode:  1011 | Steps: 162 | Reward:  -245.55 | A_Loss: -0.5621 | C_Loss: 7.0265
Episode:  1012 | Steps: 149 | Reward:    77.40 | A_Loss: -0.7576 | C_Loss: 7.5739
Episode:  1013 | Steps: 147 | Reward:  -260.60 | A_Loss: -0.9620 | C_Loss: 7.7608
Episode:  1014 | Steps:  44 | Reward:     0.61 | A_Loss: -0.8303 | C_Loss: 8.0774
Episode:  1015 | Steps:  50 | Reward:   -22.76 | A_Loss: -0.8518 | C_Loss: 8.4700
Episode:  1016 | Steps:  56 | Reward:    40.71 | A_Loss: -0.7777 | C_Loss: 8.6174
Episode:  1017 | Steps: 223 | Reward:  -482.63 | A_Loss: -0.8681 | C_Loss: 8.5803
Episode:  1018 | Steps:  50 | Reward:    30.31 | A_Loss: -0.6652 | C_Loss: 9.2761
Episode:  1019 | Steps:  96 | Reward:    74.01 | A_Loss: -0.7416 | C_Loss: 9.0271
Episode:  1020 | Steps:  27 | Reward:     4.78 | A_Loss: -0.6138 | C_Loss: 9.3063
Episode:  1021 | Steps:  52 | Reward:    31.75 | A_Loss: -0.6418 | C_Loss: 9.0714
Episode:  1022 | Steps: 378 | Reward:  -230.88 | A_Loss: -0.6024 | C_Loss: 9.1199
Episode:  1023 | Steps: 125 | Reward:    88.81 | A_Loss: -0.4955 | C_Loss: 9.5190
Episode:  1024 | Steps:  67 | Reward:  -183.22 | A_Loss: -0.3109 | C_Loss: 9.5483
Episode:  1025 | Steps:  43 | Reward:   -67.19 | A_Loss: -0.4536 | C_Loss: 9.2129
Episode:  1026 | Steps: 153 | Reward:  -417.23 | A_Loss: -0.2071 | C_Loss: 9.8013
Episode:  1027 | Steps:  38 | Reward:   -31.58 | A_Loss: -0.1133 | C_Loss: 9.9536
Episode:  1028 | Steps: 232 | Reward:  -351.99 | A_Loss: 0.0094 | C_Loss: 9.6223
Episode:  1029 | Steps:  91 | Reward:  -523.99 | A_Loss: 0.2236 | C_Loss: 9.3478
Episode:  1030 | Steps:  20 | Reward:   -67.12 | A_Loss: 0.4749 | C_Loss: 9.9211
Episode:  1031 | Steps: 106 | Reward:  -336.68 | A_Loss: 0.5764 | C_Loss: 9.9226
Episode:  1032 | Steps: 121 | Reward:    17.43 | A_Loss: 0.5915 | C_Loss: 10.2692
Episode:  1033 | Steps: 125 | Reward:    65.64 | A_Loss: 0.7457 | C_Loss: 10.0961
Episode:  1034 | Steps: 148 | Reward:    48.59 | A_Loss: 0.8112 | C_Loss: 10.0230
Episode:  1035 | Steps: 149 | Reward:    11.94 | A_Loss: 0.7484 | C_Loss: 9.9271
Episode:  1036 | Steps:  37 | Reward:    30.83 | A_Loss: 0.6991 | C_Loss: 10.1060
Episode:  1037 | Steps: 304 | Reward:  -180.74 | A_Loss: 0.6649 | C_Loss: 9.5579
Episode:  1038 | Steps: 110 | Reward:    56.64 | A_Loss: 0.6629 | C_Loss: 9.3542
Episode:  1039 | Steps: 181 | Reward:  -147.26 | A_Loss: 0.6110 | C_Loss: 9.2425
Episode:  1040 | Steps: 129 | Reward:   -14.58 | A_Loss: 0.6478 | C_Loss: 9.1195
Episode:  1041 | Steps:  99 | Reward:   -11.61 | A_Loss: 0.5982 | C_Loss: 9.0776
Episode:  1042 | Steps: 110 | Reward:   110.83 | A_Loss: 0.6304 | C_Loss: 9.1913
Episode:  1043 | Steps: 279 | Reward:  -334.64 | A_Loss: 0.6113 | C_Loss: 8.9982
Episode:  1044 | Steps:  35 | Reward:    25.52 | A_Loss: 0.6376 | C_Loss: 8.8761
Episode:  1045 | Steps: 261 | Reward:   -71.93 | A_Loss: 0.6101 | C_Loss: 8.8558
Episode:  1046 | Steps: 212 | Reward:   242.56 | A_Loss: 0.6915 | C_Loss: 8.7112
Episode:  1047 | Steps: 164 | Reward:   239.06 | A_Loss: 0.6926 | C_Loss: 8.4493
Episode:  1048 | Steps:  91 | Reward:    54.89 | A_Loss: 0.5234 | C_Loss: 8.5572
Episode:  1049 | Steps: 214 | Reward:   -10.76 | A_Loss: 0.4364 | C_Loss: 8.2686
💾 [Checkpoint 已更新] 最新模型 -> /home/nankai/formation_test/data/MADDPG_Formation_1de061_2026-03-12_13-30-28/latest_checkpoint
Episode:  1050 | Steps: 111 | Reward:    59.10 | A_Loss: 0.3809 | C_Loss: 8.2647
Episode:  1051 | Steps: 150 | Reward:   223.50 | A_Loss: 0.2160 | C_Loss: 8.1513
Episode:  1052 | Steps:  64 | Reward:    48.83 | A_Loss: 0.0637 | C_Loss: 8.0178
Episode:  1053 | Steps: 159 | Reward:   205.29 | A_Loss: 0.0572 | C_Loss: 8.1293
Episode:  1054 | Steps: 154 | Reward:   -52.61 | A_Loss: -0.2049 | C_Loss: 7.8116
Episode:  1055 | Steps: 116 | Reward:    48.63 | A_Loss: -0.4036 | C_Loss: 7.8587
Episode:  1056 | Steps: 311 | Reward:  -129.60 | A_Loss: -0.6427 | C_Loss: 7.8930
Episode:  1057 | Steps: 115 | Reward:    43.73 | A_Loss: -0.8265 | C_Loss: 8.0105
Episode:  1058 | Steps:  53 | Reward:    83.76 | A_Loss: -0.8825 | C_Loss: 7.9352
Episode:  1059 | Steps: 220 | Reward:    25.71 | A_Loss: -1.0966 | C_Loss: 7.8142
Episode:  1060 | Steps:  69 | Reward:   100.12 | A_Loss: -1.3137 | C_Loss: 7.7365
Episode:  1061 | Steps: 374 | Reward:   -37.53 | A_Loss: -1.5488 | C_Loss: 7.8410
Episode:  1062 | Steps: 180 | Reward:    12.54 | A_Loss: -1.9092 | C_Loss: 7.6617
Episode:  1063 | Steps: 169 | Reward:  -118.37 | A_Loss: -2.1071 | C_Loss: 7.6689
Episode:  1064 | Steps: 336 | Reward:    26.00 | A_Loss: -2.4432 | C_Loss: 7.5754
Episode:  1065 | Steps: 265 | Reward:   -17.71 | A_Loss: -2.7631 | C_Loss: 7.5805
Episode:  1066 | Steps:  79 | Reward:    47.18 | A_Loss: -3.0319 | C_Loss: 7.7243
Episode:  1067 | Steps:  66 | Reward:   -60.78 | A_Loss: -3.1489 | C_Loss: 7.4095
Episode:  1068 | Steps: 228 | Reward:  -218.52 | A_Loss: -3.3058 | C_Loss: 7.3046
Episode:  1069 | Steps:  52 | Reward:    39.92 | A_Loss: -3.3787 | C_Loss: 7.2593
Episode:  1070 | Steps: 257 | Reward:   -83.36 | A_Loss: -3.6465 | C_Loss: 7.5042
Episode:  1071 | Steps: 328 | Reward:  -294.38 | A_Loss: -3.8446 | C_Loss: 7.5330
Episode:  1072 | Steps: 359 | Reward:    47.79 | A_Loss: -4.0480 | C_Loss: 7.5867
Episode:  1073 | Steps:  44 | Reward:   -46.03 | A_Loss: -4.1892 | C_Loss: 7.6060
Episode:  1074 | Steps:  45 | Reward:    28.59 | A_Loss: -4.2334 | C_Loss: 7.3582
Episode:  1075 | Steps:  28 | Reward:    12.14 | A_Loss: -4.1420 | C_Loss: 7.6225
Episode:  1076 | Steps: 238 | Reward:  -127.58 | A_Loss: -4.3916 | C_Loss: 7.3494
Episode:  1077 | Steps: 188 | Reward:    71.45 | A_Loss: -4.4886 | C_Loss: 7.6643
Episode:  1078 | Steps: 147 | Reward:   165.82 | A_Loss: -4.6192 | C_Loss: 7.4048
Episode:  1079 | Steps: 211 | Reward:  -114.74 | A_Loss: -4.8049 | C_Loss: 7.3333
Episode:  1080 | Steps: 182 | Reward:   133.52 | A_Loss: -4.9021 | C_Loss: 7.4765
Episode:  1081 | Steps: 248 | Reward:    78.06 | A_Loss: -5.0862 | C_Loss: 7.5323
Episode:  1082 | Steps: 301 | Reward:   -57.83 | A_Loss: -5.3040 | C_Loss: 7.3859
Episode:  1083 | Steps: 253 | Reward:  -265.21 | A_Loss: -5.4686 | C_Loss: 7.4525
Episode:  1084 | Steps: 297 | Reward:   -71.08 | A_Loss: -5.6462 | C_Loss: 7.4770
Episode:  1085 | Steps: 104 | Reward:    56.69 | A_Loss: -5.7591 | C_Loss: 7.4168
Episode:  1086 | Steps:  36 | Reward:    19.40 | A_Loss: -5.8779 | C_Loss: 7.2132
Episode:  1087 | Steps:  80 | Reward:    92.33 | A_Loss: -5.9413 | C_Loss: 7.3360
Episode:  1088 | Steps:  76 | Reward:    62.71 | A_Loss: -5.9786 | C_Loss: 7.1839
Episode:  1089 | Steps:  59 | Reward:   -80.01 | A_Loss: -5.9931 | C_Loss: 7.4841
Episode:  1090 | Steps:  17 | Reward:    10.22 | A_Loss: -6.1062 | C_Loss: 6.9200
Episode:  1091 | Steps:  32 | Reward:    25.83 | A_Loss: -5.9874 | C_Loss: 7.3890
Episode:  1092 | Steps: 223 | Reward:   -74.03 | A_Loss: -6.0768 | C_Loss: 7.6954
Episode:  1093 | Steps: 238 | Reward:   -36.27 | A_Loss: -6.2939 | C_Loss: 7.4224
Episode:  1094 | Steps:  68 | Reward:     2.06 | A_Loss: -6.3397 | C_Loss: 7.6293
Episode:  1095 | Steps: 109 | Reward:    77.36 | A_Loss: -6.4780 | C_Loss: 7.2930
Episode:  1096 | Steps: 121 | Reward:    61.06 | A_Loss: -6.5224 | C_Loss: 7.4267
Episode:  1097 | Steps: 111 | Reward:   119.08 | A_Loss: -6.6921 | C_Loss: 7.3639
Episode:  1098 | Steps: 264 | Reward:   -39.41 | A_Loss: -6.7912 | C_Loss: 7.3674
Episode:  1099 | Steps: 263 | Reward:    34.50 | A_Loss: -6.9817 | C_Loss: 7.3493
💾 [Checkpoint 已更新] 最新模型 -> /home/nankai/formation_test/data/MADDPG_Formation_1de061_2026-03-12_13-30-28/latest_checkpoint
Episode:  1100 | Steps: 403 | Reward:    96.36 | A_Loss: -7.1704 | C_Loss: 7.3012
Episode:  1101 | Steps:  98 | Reward:    75.82 | A_Loss: -7.2959 | C_Loss: 7.2095
Episode:  1102 | Steps: 311 | Reward:  -345.17 | A_Loss: -7.3828 | C_Loss: 7.3264
Episode:  1103 | Steps: 236 | Reward:   -24.16 | A_Loss: -7.5057 | C_Loss: 7.4779
Episode:  1104 | Steps:  77 | Reward:    85.72 | A_Loss: -7.6463 | C_Loss: 7.3618
Episode:  1105 | Steps:  49 | Reward:    80.41 | A_Loss: -7.6674 | C_Loss: 7.2213
Episode:  1106 | Steps: 149 | Reward:   143.16 | A_Loss: -7.6549 | C_Loss: 7.2860
Episode:  1107 | Steps: 117 | Reward:     4.56 | A_Loss: -7.7276 | C_Loss: 7.4803
Episode:  1108 | Steps: 194 | Reward:     3.48 | A_Loss: -7.8579 | C_Loss: 7.2387
Episode:  1109 | Steps: 185 | Reward:    13.37 | A_Loss: -7.9666 | C_Loss: 7.3248
Episode:  1110 | Steps:  43 | Reward:    39.11 | A_Loss: -8.0051 | C_Loss: 7.3926
Episode:  1111 | Steps:  46 | Reward:    64.65 | A_Loss: -8.0677 | C_Loss: 7.3349
Episode:  1112 | Steps:  29 | Reward:    38.09 | A_Loss: -8.2440 | C_Loss: 7.3455
Episode:  1113 | Steps: 137 | Reward:  -185.27 | A_Loss: -8.1937 | C_Loss: 7.5327
Episode:  1114 | Steps: 168 | Reward:    68.98 | A_Loss: -8.2766 | C_Loss: 7.3473
Episode:  1115 | Steps:  45 | Reward:    10.31 | A_Loss: -8.3506 | C_Loss: 7.1751
Episode:  1116 | Steps:  80 | Reward:    83.01 | A_Loss: -8.4099 | C_Loss: 7.3963
Episode:  1117 | Steps: 270 | Reward:   -48.92 | A_Loss: -8.4100 | C_Loss: 7.5434
Episode:  1118 | Steps: 152 | Reward:   179.05 | A_Loss: -8.5566 | C_Loss: 7.3352
Episode:  1119 | Steps:  26 | Reward:    26.06 | A_Loss: -8.6173 | C_Loss: 7.5547
Episode:  1120 | Steps: 151 | Reward:    -7.52 | A_Loss: -8.6577 | C_Loss: 7.4725
Episode:  1121 | Steps: 232 | Reward:   137.36 | A_Loss: -8.8007 | C_Loss: 7.3574
Episode:  1122 | Steps: 213 | Reward:    51.49 | A_Loss: -8.8781 | C_Loss: 7.6545
Episode:  1123 | Steps: 126 | Reward:    13.74 | A_Loss: -8.9817 | C_Loss: 7.5807
Episode:  1124 | Steps:  22 | Reward:    11.04 | A_Loss: -9.1162 | C_Loss: 7.2607
Episode:  1125 | Steps: 237 | Reward:  -270.25 | A_Loss: -9.1711 | C_Loss: 7.3805
Episode:  1126 | Steps: 135 | Reward:   110.55 | A_Loss: -9.2430 | C_Loss: 7.6932
Episode:  1127 | Steps: 109 | Reward:   143.23 | A_Loss: -9.2938 | C_Loss: 7.5151
Episode:  1128 | Steps:  95 | Reward:   137.10 | A_Loss: -9.3549 | C_Loss: 7.6282
Episode:  1129 | Steps: 315 | Reward:  -239.78 | A_Loss: -9.5746 | C_Loss: 7.4071
Episode:  1130 | Steps: 150 | Reward:   111.46 | A_Loss: -9.7087 | C_Loss: 7.4051
